actor_login,year,total_commits,ai_commits,claude_commits,copilot_commits,gpt_commits,cursor_commits,aider_commits
github-actions[bot],2024,357798,52,0,0,19,6,27
magnouvean,2024,4,3,0,0,0,3,0
Kimiblock,2024,20,1,0,0,0,1,0
yejinleee,2024,6,1,0,0,0,1,0
Demmenie,2024,3,1,0,0,0,1,0
ilhaamsoomro,2024,1,1,0,0,1,0,0
pull[bot],2024,11670,32,0,0,29,3,0
JaeHyunGround,2024,21,1,0,0,0,1,0
raphaelschrader,2024,134,2,0,0,0,2,0
beyang,2024,25,1,0,0,1,0,0
voltamage,2024,4,1,0,0,0,1,0
Felipstein,2024,3,1,0,0,0,1,0
AtlantisPleb,2024,11,2,0,0,0,2,0
BeepBot99,2024,5,1,0,0,0,1,0
OTA-Bot,2024,825,32,0,11,21,0,0
jbatistareis,2024,5,1,0,0,0,1,0
KennethManzi1,2024,15,2,0,0,2,0,0
averman,2024,2,2,0,0,2,0,0
balkshamster,2024,3,1,0,0,0,1,0
itsdatbossboi,2024,1,1,0,0,0,1,0
avranu,2024,56,34,0,0,0,0,34
VE2ZAZ,2024,3,3,0,0,0,3,0
Wittano,2024,4,1,0,0,0,1,0
Happy-clo,2024,34,1,0,0,1,0,0
BintangAdhi14,2024,9,2,0,0,0,2,0
Octoklingjs,2024,2,1,0,0,1,0,0
huuff,2024,5,4,0,0,0,4,0
allen870619,2024,15,2,0,0,2,0,0
wpv-chan,2024,2,1,0,0,1,0,0
codefrogs,2024,1,1,0,0,0,1,0
Jacudibu,2024,1,1,0,0,0,1,0
shravan20,2024,22,1,0,0,0,1,0
sanyaade-projects,2024,20,3,1,0,2,0,0
crumblingstatue,2024,6,1,0,0,0,1,0
roma-glushko,2024,14,2,0,0,2,0,0
jchaselubitz,2024,1,1,0,0,1,0,0
GalNakash-RecoLabs,2024,24,1,0,0,0,1,0
silverqx,2024,44,3,0,0,0,3,0
mohammedrakib944,2024,3,2,0,0,0,2,0
jesuscc1993,2024,2,1,0,0,0,1,0
sinkingpoint,2024,11,1,0,0,0,1,0
Vladinator,2024,2,1,0,0,0,0,1
sahil310g,2024,2,1,0,0,1,0,0
malfisya,2024,20,1,0,0,0,1,0
shotaIDE,2024,22,1,0,0,1,0,0
Nertsal,2024,26,1,0,0,0,1,0
Elarnon,2024,6,1,0,0,0,1,0
michael23e,2024,1,1,0,0,0,1,0
zoli,2024,20,1,0,0,0,1,0
sunchaowang,2024,47,2,0,0,2,0,0
github-merge-queue[bot],2024,801,3,0,0,0,3,0
jmarti856,2024,16,4,0,0,0,4,0
printfCYQ,2024,1,1,0,0,0,1,0
ali-haider-qbatch,2024,1,1,0,0,0,0,1
DABer1805,2024,1,1,0,0,0,1,0
woodsts,2024,153,1,0,0,0,1,0
EliahKagan,2024,43,2,0,0,2,0,0
7amudaa,2024,1,1,0,0,1,0,0
dependabot[bot],2024,13067,16,0,0,16,0,0
GreyChou,2024,3,1,0,0,1,0,0
JAYESHBATRA,2024,4,2,0,0,0,2,0
DanikVitek,2024,10,1,0,0,0,1,0
keyle,2024,9,1,0,0,0,1,0
MarioFiorino,2024,1,1,0,0,1,0,0
DawnBreather,2024,160,2,0,0,0,2,0
LynithDev,2024,2,1,0,0,0,1,0
heyman,2024,20,1,0,0,0,1,0
yvolk,2024,12,1,0,0,0,1,0
MusliHyseni,2024,3,1,0,0,0,1,0
MoinulIslam7,2024,4,1,0,0,1,0,0
Onkar-Dhotarkar,2024,7,1,0,0,0,1,0
ReversedK,2024,20,1,0,0,1,0,0
yutaro-sakamoto,2024,10,1,0,0,0,1,0
nifty-coder,2024,2,2,0,0,2,0,0
flolbr,2024,14,2,0,0,0,2,0
ashwin133,2024,1,1,0,0,0,1,0
ashmit-sinha-30,2024,5,1,0,0,0,1,0
shantoshaji,2024,23,1,0,0,1,0,0
damentz,2024,44,2,0,0,0,2,0
jxpsert,2024,1,1,0,0,0,1,0
shoaib3456,2024,2,2,0,0,2,0,0
bob3000,2024,1,1,0,0,0,1,0
kirollos-Magdy1,2024,21,1,0,0,0,1,0
snuggs,2024,42,7,0,0,0,7,0
derekphilipau,2024,1,1,0,0,1,0,0
Gianlooca,2024,2,1,0,0,0,1,0
b1ron,2024,4,1,0,0,0,1,0
khiner,2024,4,2,0,0,0,2,0
Henricknen,2024,2,1,0,0,0,1,0
realor,2024,1,1,0,0,1,0,0
cielecki,2024,49,1,0,0,1,0,0
bbsemih,2024,20,4,0,0,4,0,0
Axlfc,2024,1,1,0,0,1,0,0
danielway,2024,34,1,0,0,0,1,0
Geeekie,2024,19,16,0,0,0,0,16
paramsingh,2024,2,2,0,0,2,0,0
SaiFi0102,2024,4,1,0,0,0,0,1
Kaz205,2024,41,1,0,0,0,1,0
dkindlund,2024,11,2,0,0,2,0,0
sj-aws,2024,83,2,0,0,0,2,0
jiyuu-jin,2024,1,1,0,0,1,0,0
nepp95,2024,1,1,0,0,0,1,0
gandalfn,2024,8,1,0,0,0,1,0
idircarlos,2024,1,1,0,0,0,1,0
Marco4413,2024,8,1,0,0,0,1,0
Arman2409,2024,5,1,0,0,0,1,0
DanielVierh,2024,3,1,0,0,0,1,0
CodeWithUmair,2024,1,1,0,0,1,0,0
sc308195,2024,1,1,0,0,1,0,0
ashrafmajdee,2024,172,9,0,9,0,0,0
backdround,2024,8,1,0,0,0,1,0
Nougat-User,2024,11,1,0,0,1,0,0
Danielkonge,2024,21,1,0,0,0,1,0
manas1410,2024,1,1,0,0,0,1,0
Kosm8,2024,16,2,0,0,0,2,0
aryanranderiya,2024,1,1,0,0,0,1,0
jfgoodall,2024,20,1,0,0,0,1,0
salmanayazz,2024,11,1,0,0,0,1,0
wisdomcrane,2024,2,1,0,0,1,0,0
1323216010,2024,4,3,0,0,3,0,0
Zalron,2024,20,1,0,0,0,1,0
AndreVianna,2024,2,2,0,0,2,0,0
LucasXu0,2024,30,2,0,0,0,2,0
AnonHxy,2024,20,1,0,0,0,1,0
Lil-Strudel,2024,8,3,0,0,0,3,0
mjvi-odoo,2024,41,1,0,0,0,1,0
heliochronix,2024,2,1,0,0,0,1,0
thsubaku9,2024,2,2,0,0,0,2,0
ishaan-jaff,2024,11,2,0,0,2,0,0
Akhil-Raj,2024,2,2,0,0,2,0,0
sweep-ai[bot],2024,379,1,0,0,1,0,0
sanegaming,2024,14,1,0,0,1,0,0
GarfieldDai,2024,7,1,0,0,1,0,0
cmdbris,2024,1,1,0,0,0,1,0
JohnielComanda,2024,39,1,0,0,1,0,0
tutuxka,2024,40,1,0,0,1,0,0
swyxio,2024,2,1,0,0,1,0,0
castrombithisamm,2024,1,1,0,0,1,0,0
Arushan2,2024,21,1,0,0,1,0,0
Snakey42069,2024,20,1,0,0,1,0,0
pbsprashanth113,2024,20,3,0,0,3,0,0
ianthehamster,2024,2,1,0,0,1,0,0
summerfang,2024,3,1,0,0,1,0,0
epsilon-0,2024,1,1,0,0,0,1,0
IshwarKanse,2024,20,1,0,0,1,0,0
shabegom,2024,14,1,0,0,0,1,0
yeah-its-gloria,2024,1,1,0,0,0,1,0
gitstart,2024,67,1,0,0,0,1,0
ZachyCatGames,2024,3,1,0,0,0,1,0
ketsarin789,2024,20,1,0,0,1,0,0
thirteenmans,2024,2,1,0,0,0,1,0
erikajdavid,2024,3,1,0,0,0,1,0
scala-steward-didx[bot],2024,3,1,0,0,1,0,0
burnworks,2024,5,1,0,0,1,0,0
alannguyencs,2024,2,1,0,0,1,0,0
fcoalcantarajr,2024,1,1,0,0,1,0,0
efriis,2024,18,1,0,0,1,0,0
fakuventuri,2024,4,1,0,0,0,1,0
rishimo,2024,2,1,0,0,1,0,0
tradex-app,2024,2,1,0,0,0,1,0
mecaneer23,2024,6,1,0,0,0,1,0
hermabr,2024,4,1,0,0,1,0,0
rberman6,2024,26,2,0,0,2,0,0
mccrindlebrian,2024,1,1,0,0,1,0,0
skippyr,2024,9,2,0,0,0,2,0
nimrodleon,2024,20,1,0,0,0,1,0
BrentFarris,2024,40,2,0,0,0,2,0
azonenberg,2024,6,1,0,0,0,1,0
maxisawesome,2024,1,1,0,0,1,0,0
Chanzhaoyu,2024,1,1,0,0,1,0,0
kaylareopelle,2024,2,1,0,0,1,0,0
Fabcien,2024,3,1,0,0,0,1,0
joshistoast,2024,20,1,0,0,0,1,0
mcastillo1030,2024,5,5,0,0,0,5,0
tomifer10,2024,1,1,0,0,0,1,0
eddydas,2024,43,1,0,0,0,1,0
thalessz,2024,4,1,0,0,0,1,0
stefan-mysten,2024,11,1,0,0,0,1,0
Jbluehdorn,2024,4,1,0,0,0,1,0
doridoridoriand,2024,40,1,0,1,0,0,0
trixirt,2024,20,1,0,0,1,0,0
Muppetsg2,2024,37,1,0,0,0,1,0
crazyman222214,2024,3,1,0,0,1,0,0
clintropolis,2024,1,1,0,0,0,1,0
Abczymnik,2024,3,1,0,0,0,1,0
catca,2024,20,1,0,0,0,1,0
tomiir,2024,7,1,0,0,0,1,0
slundberg,2024,22,2,1,0,1,0,0
jbucsa,2024,1,1,0,0,1,0,0
clayne,2024,221,1,0,0,0,1,0
nacht-falter,2024,2,1,0,0,0,1,0
OrigamiDev-Pete,2024,20,1,0,0,0,1,0
Constellation,2024,29,1,0,0,0,1,0
achan00,2024,21,1,0,0,0,1,0
samuel40791765,2024,9,1,0,0,0,1,0
Bossett,2024,2,1,0,0,0,1,0
richardhuaaa,2024,8,1,0,0,0,1,0
davidyoondrums,2024,20,2,0,0,2,0,0
ApiskeyC,2024,2,1,0,0,1,0,0
jacoblee93,2024,19,2,0,0,2,0,0
EdenEast,2024,15,1,0,1,0,0,0
leehaoze,2024,20,2,0,0,2,0,0
thy09,2024,1,1,0,0,1,0,0
wuminzhe,2024,5,1,0,0,0,1,0
chirag-jn,2024,20,2,0,0,2,0,0
Raspincel,2024,8,1,0,0,0,1,0
AntoineRelief,2024,55,1,1,0,0,0,0
azure-sdk,2024,453,11,0,0,11,0,0
flyingwebie,2024,20,1,0,0,1,0,0
rapidfsub,2024,20,1,0,1,0,0,0
yunjiang29,2024,20,1,0,0,1,0,0
mtsdurica,2024,2,2,0,0,0,2,0
michaelessiet,2024,20,1,0,0,0,1,0
hjtrhodes,2024,7,1,0,0,0,1,0
Porenutak,2024,64,2,0,0,0,0,2
stackmystack,2024,36,2,0,0,0,2,0
ranndaddy,2024,3,2,0,0,2,0,0
PeiwenGaoMS,2024,4,1,0,0,1,0,0
ayushjain01,2024,2,1,0,0,0,1,0
SmilebeCCE,2024,2,1,0,0,1,0,0
iqbal-emon,2024,17,3,0,0,0,3,0
hemidactylus,2024,34,2,0,0,2,0,0
metalgearsloth,2024,55,1,0,0,0,1,0
ulrikstrid,2024,20,1,0,0,0,1,0
shr-project,2024,80,4,0,0,0,4,0
chrtannus,2024,21,1,0,0,0,1,0
keymap-editor[bot],2024,49,1,0,0,0,1,0
emhamm,2024,22,1,0,0,0,1,0
NVaissaud,2024,4,2,0,0,0,0,2
JHRobotics,2024,15,1,0,0,0,0,1
jake4take,2024,50,2,0,0,0,2,0
webkit-commit-queue,2024,225,3,0,0,0,3,0
Coderwelsch,2024,3,3,0,0,0,3,0
ronak69,2024,20,1,0,0,0,1,0
bymshihab,2024,6,1,0,0,0,1,0
PercyAtFj,2024,15,3,0,0,3,0,0
mizchi,2024,11,1,0,0,1,0,0
rapterjet2004,2024,20,2,0,0,0,2,0
roverchen,2024,14,2,0,0,0,2,0
aeaton-overleaf,2024,11,1,0,0,0,1,0
predictiple,2024,2,1,0,0,0,1,0
esloch,2024,3,1,0,0,0,1,0
katexochen,2024,119,1,1,0,0,0,0
olafurpg,2024,19,1,0,0,0,1,0
ishine,2024,207,4,0,0,4,0,0
onezero01010,2024,5,1,0,0,0,1,0
ogabrielluiz,2024,55,1,0,0,1,0,0
pepo1275,2024,20,1,0,0,1,0,0
vitorhbf,2024,3,1,0,0,0,1,0
Honry,2024,20,1,0,0,1,0,0
loadfms,2024,2,1,0,0,1,0,0
Suman29052003,2024,2,1,0,0,1,0,0
bizonlukte,2024,6,1,0,0,1,0,0
wsxk,2024,20,1,0,0,1,0,0
Naoko705310,2024,2,1,0,0,0,1,0
MartinWie,2024,3,2,0,0,2,0,0
joeizang,2024,18,1,0,0,1,0,0
forged-by-grace,2024,7,1,0,0,1,0,0
ncarbonara,2024,9,1,0,0,0,1,0
dranger003,2024,36,1,0,0,1,0,0
nasirimed,2024,1,1,0,0,1,0,0
Yun-BizQA,2024,1,1,0,0,1,0,0
aiproduct-creators,2024,2,1,0,0,1,0,0
sandeepchahal,2024,2,1,0,0,1,0,0
maxomatic458,2024,20,1,0,0,0,1,0
Weixuanf,2024,14,1,0,0,0,1,0
chengithubcangku,2024,90,4,0,0,4,0,0
qql2,2024,20,2,0,0,2,0,0
DreamySkrell,2024,22,1,0,0,0,0,1
tirongi,2024,20,1,0,0,1,0,0
philvoyer,2024,8,1,0,0,0,1,0
jboero,2024,4,1,0,0,1,0,0
ramashisx,2024,10,2,2,0,0,0,0
tianheg,2024,6,1,0,0,1,0,0
natto-maki,2024,1,1,0,0,1,0,0
lukemarsden,2024,1,1,0,0,1,0,0
callison-burch,2024,4,3,0,0,3,0,0
liangfung,2024,29,1,0,0,1,0,0
jasonverber,2024,40,2,0,0,0,2,0
rlouf,2024,1,1,0,0,1,0,0
chrisd8088,2024,6,2,0,0,0,2,0
gibsondan,2024,20,1,0,0,0,1,0
Theocratico,2024,1,1,0,0,0,1,0
nokitakaze,2024,8,3,0,0,3,0,0
sudoWright,2024,4,1,0,0,1,0,0
SirEntropy,2024,16,7,0,0,7,0,0
ashors1,2024,5,1,0,0,1,0,0
yousuf-city-uni,2024,4,2,0,0,0,2,0
binocarlos,2024,25,1,0,0,0,1,0
JasonWeill,2024,20,3,0,0,3,0,0
jeet1desai,2024,25,2,0,0,0,2,0
farzad528,2024,7,1,0,0,1,0,0
NathanMacktravis,2024,2,1,0,0,1,0,0
kevon217,2024,5,1,0,0,1,0,0
nidhilashkari17,2024,6,1,0,0,0,1,0
pradipchaudhary,2024,90,10,0,0,0,10,0
Marceau-h,2024,2,2,0,0,0,2,0
matsc99,2024,3,1,0,0,0,1,0
glharper,2024,2,1,0,0,1,0,0
engine-flutter-autoroll,2024,40,1,0,0,0,1,0
jpalvarezl,2024,1,1,0,0,1,0,0
Michael-R-R,2024,2,1,0,0,0,1,0
MattKevan,2024,3,1,0,0,0,1,0
MegaMagicarp,2024,3,1,0,0,0,1,0
singankit,2024,21,2,0,0,2,0,0
Buildstarted,2024,6,1,0,0,1,0,0
diego3g,2024,16,2,0,0,0,2,0
Ma27,2024,46,1,0,0,0,1,0
weex,2024,2,1,0,0,0,1,0
namanbarkiya,2024,13,1,0,0,1,0,0
baautitz,2024,2,1,0,0,0,1,0
tzolov,2024,1,1,0,0,1,0,0
ion-elgreco,2024,64,1,0,0,0,1,0
misbahsy,2024,20,3,0,0,3,0,0
niwinz,2024,9,1,0,0,0,1,0
J-HaleOf76,2024,65,1,0,0,0,1,0
kirilligum,2024,12,6,0,0,0,0,6
mykytabiriukov,2024,2,1,0,0,0,1,0
ph-ausseil,2024,39,7,0,0,7,0,0
selmaVH1,2024,6,1,0,0,0,1,0
EwenBernard,2024,3,1,0,0,1,0,0
tractorjuice,2024,31,1,0,0,1,0,0
mscottapple,2024,20,1,0,0,0,1,0
rannmann,2024,1,1,0,0,1,0,0
dkotter,2024,23,1,0,0,1,0,0
calebade,2024,5,1,0,0,1,0,0
Algorithm5838,2024,17,1,0,0,1,0,0
camilosasuketbs,2024,15,2,0,0,0,0,2
jettro,2024,12,1,0,0,1,0,0
renovate[bot],2024,29427,3,0,0,3,0,0
Superoldman96,2024,956,1,0,0,0,1,0
Balovsky,2024,30,1,0,0,0,1,0
aestes,2024,40,1,0,0,0,1,0
lukaszcz,2024,20,1,0,0,0,1,0
gitstart-calcom,2024,11,1,0,0,1,0,0
ReinderVosDeWael,2024,4,1,0,0,1,0,0
keenborder786,2024,17,1,0,0,1,0,0
mssfang,2024,7,3,0,0,3,0,0
BazoukaJo,2024,2,1,0,0,1,0,0
AdamYang1,2024,4,1,0,0,0,1,0
aakritisinha66,2024,2,1,0,0,1,0,0
ezequias2d,2024,21,3,0,0,0,3,0
DarinkaGM,2024,16,1,0,0,0,1,0
rhmdnd,2024,60,1,0,0,1,0,0
mwyrzykowski,2024,59,1,0,0,0,1,0
HardikGoyal2003,2024,18,1,0,0,0,1,0
chungmin99,2024,1,1,0,0,0,1,0
kdesysadmin,2024,162,3,0,0,0,3,0
paholg,2024,22,1,0,0,0,1,0
AndarManik,2024,1,1,0,0,1,0,0
Chromius-1,2024,20,1,0,0,1,0,0
MiPigurim,2024,1,1,0,0,0,1,0
Danny-DeLaRosa,2024,20,4,0,0,4,0,0
clemlesne,2024,6,1,0,0,1,0,0
pmalarme,2024,12,1,0,0,1,0,0
metroid-samus,2024,11,1,0,0,1,0,0
josefehse,2024,1,1,0,0,1,0,0
Vadimber2,2024,20,1,0,0,1,0,0
kelbyhawn,2024,4,1,0,0,0,1,0
Kevdome3000,2024,9,2,0,0,2,0,0
oldlonecoder,2024,3,1,0,0,0,1,0
divinity76,2024,20,1,0,0,1,0,0
peterhoeg,2024,94,1,0,0,0,1,0
g2vinay,2024,21,2,0,0,2,0,0
TheBits,2024,24,2,0,0,2,0,0
Contrabang,2024,20,1,0,0,0,0,1
bruffridge,2024,1,1,0,0,1,0,0
kart1ka,2024,3,1,0,0,1,0,0
gyutae100,2024,4,2,0,0,0,2,0
Jeysamich,2024,9,1,0,0,0,1,0
xyz-rahul,2024,7,1,0,0,0,1,0
joone,2024,3,2,0,0,2,0,0
jbdk,2024,20,1,0,0,1,0,0
brightlightkim,2024,6,1,0,0,1,0,0
thingalon,2024,40,1,0,0,0,1,0
sloom,2024,5,1,0,0,1,0,0
AFZL210,2024,25,1,0,0,0,1,0
whitdog47,2024,9,1,0,0,1,0,0
chromium-wpt-export-bot,2024,57,3,0,0,0,3,0
zerotonine2da,2024,26,1,0,0,0,1,0
wangruohui,2024,1,1,0,0,1,0,0
Canyu-Liu,2024,20,1,0,0,1,0,0
hemanth94,2024,20,2,0,0,2,0,0
NicolasMahe,2024,16,2,0,0,0,2,0
paul172v,2024,3,1,0,0,0,1,0
azaj01,2024,27,5,0,0,5,0,0
ThatXliner,2024,35,1,0,0,0,1,0
AbhiK2244,2024,1,1,0,0,0,1,0
kopz9,2024,14,1,0,0,0,1,0
chad1008,2024,22,1,0,0,0,1,0
lmzxtek,2024,20,3,0,0,3,0,0
darouwan,2024,27,2,0,0,2,0,0
mathrunet,2024,5,1,0,0,1,0,0
Yao-MR,2024,98,1,0,0,0,1,0
isold23,2024,20,1,0,0,1,0,0
MatthewCJY,2024,4,1,0,0,0,1,0
TheFloatingString,2024,5,2,0,0,2,0,0
Tob-iee,2024,40,11,2,0,9,0,0
jason5122,2024,4,2,0,0,0,2,0
inverted-capital,2024,4,1,0,0,1,0,0
Alizaaaja4,2024,7,1,0,0,0,1,0
ronneldavis,2024,9,3,0,0,3,0,0
Gajus84,2024,53,2,0,0,0,2,0
Khalid-Najmeddine,2024,3,2,0,0,2,0,0
wrstscrnnm6,2024,20,2,0,0,0,2,0
alebastr,2024,14,1,0,0,0,1,0
anipnwr7777,2024,2,1,0,0,1,0,0
manateelazycat,2024,4,1,0,0,0,1,0
danisanguino,2024,4,1,0,0,0,1,0
lssqla,2024,20,1,0,0,1,0,0
jackmin,2024,20,1,0,0,0,1,0
CambioML,2024,22,5,0,0,5,0,0
huangyingting,2024,23,2,0,0,2,0,0
rb-union,2024,9,1,0,0,0,1,0
silviuas,2024,20,1,0,0,1,0,0
shdc-tech,2024,5,1,0,0,0,1,0
harnish-elastic,2024,50,1,0,0,0,1,0
ShengYang1,2024,40,1,0,0,1,0,0
phlpsong,2024,5,1,0,0,1,0,0
Tuanshu,2024,4,1,0,0,1,0,0
guchenhe,2024,20,1,0,0,1,0,0
JungangHighschool,2024,9,1,0,0,0,1,0
MustafaNaqvi,2024,19,1,0,0,0,1,0
kyeshmz,2024,2,1,0,0,1,0,0
Venn22,2024,16,1,0,0,0,1,0
ghentschke,2024,4,1,0,0,0,1,0
